pclass,survived,sex,age_orig,sibsp,parch,fare,embarked,boat_nan,title,deck,age_imp_1,age_imp_2,age_imp_3,age_imp_4,age_imp_5,deck_imp_1,deck_imp_2,deck_imp_3,deck_imp_4,deck_imp_5
1,1,female,29.0,0,0,211.3375,S,1,Miss,B,29.0,29.0,29.0,29.0,29.0,2.0,2.0,2.0,2.0,2.0
1,1,male,0.9167,1,2,151.55,S,1,Master,C,0.9167,0.9167,0.9167,0.9167,0.9167,3.0,3.0,3.0,3.0,3.0
1,0,female,2.0,1,2,151.55,S,0,Miss,C,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
1,0,male,30.0,1,2,151.55,S,0,Mr,C,30.0,30.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,3.0
1,0,female,25.0,1,2,151.55,S,0,Mrs,C,25.0,25.0,25.0,25.0,25.0,3.0,3.0,3.0,3.0,3.0
1,1,male,48.0,0,0,26.55,S,1,Mr,E,48.0,48.0,48.0,48.0,48.0,5.0,5.0,5.0,5.0,5.0
1,1,female,63.0,1,0,77.9583,S,1,Miss,D,63.0,63.0,63.0,63.0,63.0,4.0,4.0,4.0,4.0,4.0
1,0,male,39.0,0,0,0.0,S,0,Mr,A,39.0,39.0,39.0,39.0,39.0,1.0,1.0,1.0,1.0,1.0
1,1,female,53.0,2,0,51.4792,S,1,Mrs,C,53.0,53.0,53.0,53.0,53.0,3.0,3.0,3.0,3.0,3.0
1,0,male,71.0,0,0,49.5042,C,0,Mr,,71.0,71.0,71.0,71.0,71.0,4.0,2.0,3.0,3.0,2.0
1,0,male,47.0,1,0,227.525,C,0,Rare Title,C,47.0,47.0,47.0,47.0,47.0,3.0,3.0,3.0,3.0,3.0
1,1,female,18.0,1,0,227.525,C,1,Mrs,C,18.0,18.0,18.0,18.0,18.0,3.0,3.0,3.0,3.0,3.0
1,1,female,24.0,0,0,69.3,C,1,Mrs,B,24.0,24.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0
1,1,female,26.0,0,0,78.85,S,1,Miss,,26.0,26.0,26.0,26.0,26.0,2.0,2.0,2.0,1.0,2.0
1,1,male,80.0,0,0,30.0,S,1,Mr,A,80.0,80.0,80.0,80.0,80.0,1.0,1.0,1.0,1.0,1.0
1,0,male,,0,0,25.925,S,0,Mr,,36.0,52.0,48.0,27.0,54.0,4.0,3.0,5.0,3.0,3.0
1,0,male,24.0,0,1,247.5208,C,0,Mr,B,24.0,24.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0
1,1,female,50.0,0,1,247.5208,C,1,Mrs,B,50.0,50.0,50.0,50.0,50.0,2.0,2.0,2.0,2.0,2.0
1,1,female,32.0,0,0,76.2917,C,1,Miss,D,32.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,4.0
1,0,male,36.0,0,0,75.2417,C,1,Mr,C,36.0,36.0,36.0,36.0,36.0,3.0,3.0,3.0,3.0,3.0
1,1,male,37.0,1,1,52.5542,S,1,Mr,D,37.0,37.0,37.0,37.0,37.0,4.0,4.0,4.0,4.0,4.0
1,1,female,47.0,1,1,52.5542,S,1,Mrs,D,47.0,47.0,47.0,47.0,47.0,4.0,4.0,4.0,4.0,4.0
1,1,male,26.0,0,0,30.0,C,1,Mr,C,26.0,26.0,26.0,26.0,26.0,3.0,3.0,3.0,3.0,3.0
1,1,female,42.0,0,0,227.525,C,1,Miss,,42.0,42.0,42.0,42.0,42.0,3.0,3.0,1.0,2.0,1.0
1,1,female,29.0,0,0,221.7792,S,1,Miss,C,29.0,29.0,29.0,29.0,29.0,3.0,3.0,3.0,3.0,3.0
1,0,male,25.0,0,0,26.0,C,0,Mr,,25.0,25.0,25.0,25.0,25.0,4.0,2.0,2.0,4.0,3.0
1,1,male,25.0,1,0,91.0792,C,1,Mr,B,25.0,25.0,25.0,25.0,25.0,2.0,2.0,2.0,2.0,2.0
1,1,female,19.0,1,0,91.0792,C,1,Mrs,B,19.0,19.0,19.0,19.0,19.0,2.0,2.0,2.0,2.0,2.0
1,1,female,35.0,0,0,135.6333,S,1,Miss,C,35.0,35.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0
1,1,male,28.0,0,0,26.55,S,1,Mr,C,28.0,28.0,28.0,28.0,28.0,3.0,3.0,3.0,3.0,3.0
1,0,male,45.0,0,0,35.5,S,0,Mr,T,45.0,45.0,45.0,45.0,45.0,8.0,8.0,8.0,8.0,8.0
1,1,male,40.0,0,0,31.0,C,1,Mr,A,40.0,40.0,40.0,40.0,40.0,1.0,1.0,1.0,1.0,1.0
1,1,female,30.0,0,0,164.8667,S,1,Miss,C,30.0,30.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,3.0
1,1,female,58.0,0,0,26.55,S,1,Miss,C,58.0,58.0,58.0,58.0,58.0,3.0,3.0,3.0,3.0,3.0
1,0,male,42.0,0,0,26.55,S,0,Mr,D,42.0,42.0,42.0,42.0,42.0,4.0,4.0,4.0,4.0,4.0
1,1,female,45.0,0,0,262.375,C,1,Miss,,45.0,45.0,45.0,45.0,45.0,5.0,2.0,1.0,3.0,2.0
1,1,female,22.0,0,1,55.0,S,1,Miss,E,22.0,22.0,22.0,22.0,22.0,5.0,5.0,5.0,5.0,5.0
1,1,male,,0,0,26.55,S,1,Mr,,18.0,55.0,34.0,26.0,35.0,3.0,2.0,2.0,3.0,1.0
1,0,male,41.0,0,0,30.5,S,0,Mr,A,41.0,41.0,41.0,41.0,41.0,1.0,1.0,1.0,1.0,1.0
1,0,male,48.0,0,0,50.4958,C,0,Mr,B,48.0,48.0,48.0,48.0,48.0,2.0,2.0,2.0,2.0,2.0
1,0,male,,0,0,39.6,C,0,Rare Title,,45.0,45.0,47.0,65.0,40.0,4.0,2.0,3.0,3.0,2.0
1,1,female,44.0,0,0,27.7208,C,1,Mrs,B,44.0,44.0,44.0,44.0,44.0,2.0,2.0,2.0,2.0,2.0
1,1,female,59.0,2,0,51.4792,S,1,Mrs,C,59.0,59.0,59.0,59.0,59.0,3.0,3.0,3.0,3.0,3.0
1,1,female,60.0,0,0,76.2917,C,1,Mrs,D,60.0,60.0,60.0,60.0,60.0,4.0,4.0,4.0,4.0,4.0
1,1,female,41.0,0,0,134.5,C,1,Miss,E,41.0,41.0,41.0,41.0,41.0,5.0,5.0,5.0,5.0,5.0
1,0,male,45.0,0,0,26.55,S,0,Rare Title,B,45.0,45.0,45.0,45.0,45.0,2.0,2.0,2.0,2.0,2.0
1,0,male,,0,0,31.0,S,0,Mr,,25.0,58.0,45.0,43.0,49.0,2.0,2.0,3.0,3.0,2.0
1,1,male,42.0,0,0,26.2875,S,1,Mr,E,42.0,42.0,42.0,42.0,42.0,5.0,5.0,5.0,5.0,5.0
1,1,female,53.0,0,0,27.4458,C,1,Mrs,,53.0,53.0,53.0,53.0,53.0,3.0,2.0,2.0,5.0,2.0
1,1,male,36.0,0,1,512.3292,C,1,Mr,B,36.0,36.0,36.0,36.0,36.0,2.0,2.0,2.0,2.0,2.0
1,1,female,58.0,0,1,512.3292,C,1,Mrs,B,58.0,58.0,58.0,58.0,58.0,2.0,2.0,2.0,2.0,2.0
1,0,male,33.0,0,0,5.0,S,0,Mr,B,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,2.0
