pclass,survived,sex,age,sibsp,parch,fare,embarked,title,deck
1.0,1.0,female,29.0,0.0,0.0,211.3375,S,Miss,B
1.0,1.0,male,0.9167,1.0,2.0,151.55,S,Master,C
1.0,0.0,female,2.0,1.0,2.0,151.55,S,Miss,C
1.0,0.0,male,30.0,1.0,2.0,151.55,S,Mr,C
1.0,0.0,female,25.0,1.0,2.0,151.55,S,Mrs,C
1.0,1.0,male,48.0,0.0,0.0,26.55,S,Mr,E
1.0,1.0,female,63.0,1.0,0.0,77.9583,S,Miss,D
1.0,0.0,male,39.0,0.0,0.0,0.0,S,Mr,A
1.0,1.0,female,53.0,2.0,0.0,51.4792,S,Mrs,C
1.0,0.0,male,71.0,0.0,0.0,49.5042,C,Mr,B
1.0,0.0,male,47.0,1.0,0.0,227.525,C,Rare Title,C
1.0,1.0,female,18.0,1.0,0.0,227.525,C,Mrs,C
1.0,1.0,female,24.0,0.0,0.0,69.3,C,Mrs,B
1.0,1.0,female,26.0,0.0,0.0,78.85,S,Miss,B
1.0,1.0,male,80.0,0.0,0.0,30.0,S,Mr,A
1.0,0.0,male,46.411679885062725,0.0,0.0,25.925,S,Mr,C
1.0,0.0,male,24.0,0.0,1.0,247.5208,C,Mr,B
1.0,1.0,female,50.0,0.0,1.0,247.5208,C,Mrs,B
1.0,1.0,female,32.0,0.0,0.0,76.2917,C,Miss,D
1.0,0.0,male,36.0,0.0,0.0,75.2417,C,Mr,C
1.0,1.0,male,37.0,1.0,1.0,52.5542,S,Mr,D
1.0,1.0,female,47.0,1.0,1.0,52.5542,S,Mrs,D
1.0,1.0,male,26.0,0.0,0.0,30.0,C,Mr,C
1.0,1.0,female,42.0,0.0,0.0,227.525,C,Miss,B
1.0,1.0,female,29.0,0.0,0.0,221.7792,S,Miss,C
1.0,0.0,male,25.0,0.0,0.0,26.0,C,Mr,F
1.0,1.0,male,25.0,1.0,0.0,91.0792,C,Mr,B
1.0,1.0,female,19.0,1.0,0.0,91.0792,C,Mrs,B
1.0,1.0,female,35.0,0.0,0.0,135.6333,S,Miss,C
1.0,1.0,male,28.0,0.0,0.0,26.55,S,Mr,C
1.0,0.0,male,45.0,0.0,0.0,35.5,S,Mr,T
1.0,1.0,male,40.0,0.0,0.0,31.0,C,Mr,A
1.0,1.0,female,30.0,0.0,0.0,164.8667,S,Miss,C
1.0,1.0,female,58.0,0.0,0.0,26.55,S,Miss,C
1.0,0.0,male,42.0,0.0,0.0,26.55,S,Mr,D
1.0,1.0,female,45.0,0.0,0.0,262.375,C,Miss,B
1.0,1.0,female,22.0,0.0,1.0,55.0,S,Miss,E
1.0,1.0,male,40.38836473138102,0.0,0.0,26.55,S,Mr,E
1.0,0.0,male,41.0,0.0,0.0,30.5,S,Mr,A
1.0,0.0,male,48.0,0.0,0.0,50.4958,C,Mr,B
1.0,0.0,male,51.19327189784653,0.0,0.0,39.6,C,Rare Title,B
1.0,1.0,female,44.0,0.0,0.0,27.7208,C,Mrs,B
1.0,1.0,female,59.0,2.0,0.0,51.4792,S,Mrs,C
1.0,1.0,female,60.0,0.0,0.0,76.2917,C,Mrs,D
1.0,1.0,female,41.0,0.0,0.0,134.5,C,Miss,E
1.0,0.0,male,45.0,0.0,0.0,26.55,S,Rare Title,B
1.0,0.0,male,47.229885841647565,0.0,0.0,31.0,S,Mr,C
1.0,1.0,male,42.0,0.0,0.0,26.2875,S,Mr,E
1.0,1.0,female,53.0,0.0,0.0,27.4458,C,Mrs,C
1.0,1.0,male,36.0,0.0,1.0,512.3292,C,Mr,B
1.0,1.0,female,58.0,0.0,1.0,512.3292,C,Mrs,B
1.0,0.0,male,33.0,0.0,0.0,5.0,S,Mr,B
1.0,0.0,male,28.0,0.0,0.0,47.1,S,Mr,D
1.0,0.0,male,17.0,0.0,0.0,47.1,S,Mr,D
1.0,1.0,male,11.0,1.0,2.0,120.0,S,Master,B
1.0,1.0,female,14.0,1.0,2.0,120.0,S,Miss,B
1.0,1.0,male,36.0,1.0,2.0,120.0,S,Mr,B
1.0,1.0,female,36.0,1.0,2.0,120.0,S,Mrs,B
1.0,0.0,male,49.0,0.0,0.0,26.0,S,Mr,C
1.0,1.0,female,46.3914629839138,0.0,0.0,27.7208,C,Mrs,C
1.0,0.0,male,36.0,1.0,0.0,78.85,S,Mr,C
1.0,1.0,female,76.0,1.0,0.0,78.85,S,Mrs,C
1.0,0.0,male,46.0,1.0,0.0,61.175,S,Mr,E
1.0,1.0,female,47.0,1.0,0.0,61.175,S,Mrs,E
1.0,1.0,male,27.0,1.0,0.0,53.1,S,Mr,E
1.0,1.0,female,33.0,1.0,0.0,53.1,S,Mrs,E
1.0,1.0,female,36.0,0.0,0.0,262.375,C,Miss,B
1.0,1.0,female,30.0,0.0,0.0,86.5,S,Miss,B
1.0,1.0,male,45.0,0.0,0.0,29.7,C,Mr,A
1.0,1.0,female,42.67797851152913,0.0,1.0,55.0,S,Mrs,E
1.0,0.0,male,37.73668353002362,0.0,0.0,0.0,S,Mr,F
1.0,0.0,male,27.0,1.0,0.0,136.7792,C,Mr,C
1.0,1.0,female,26.0,1.0,0.0,136.7792,C,Mrs,C
1.0,1.0,female,22.0,0.0,0.0,151.55,S,Miss,C
1.0,0.0,male,48.138876736320086,0.0,0.0,52.0,S,Mr,A
1.0,0.0,male,47.0,0.0,0.0,25.5875,S,Mr,E
1.0,1.0,female,39.0,1.0,1.0,83.1583,C,Miss,E
1.0,0.0,male,37.0,1.0,1.0,83.1583,C,Mr,E
1.0,1.0,female,64.0,0.0,2.0,83.1583,C,Mrs,E
1.0,1.0,female,55.0,2.0,0.0,25.7,S,Mrs,C
1.0,0.0,male,46.51538987253751,0.0,0.0,26.55,S,Mr,C
1.0,0.0,male,70.0,1.0,1.0,71.0,S,Rare Title,B
1.0,1.0,female,36.0,0.0,2.0,71.0,S,Miss,B
1.0,1.0,female,64.0,1.0,1.0,26.55,S,Mrs,B
1.0,0.0,male,39.0,1.0,0.0,71.2833,C,Mr,C
1.0,1.0,female,38.0,1.0,0.0,71.2833,C,Mrs,C
1.0,1.0,male,51.0,0.0,0.0,26.55,S,Mr,E
1.0,1.0,male,27.0,0.0,0.0,30.5,S,Mr,E
1.0,1.0,female,33.0,0.0,0.0,151.55,S,Miss,C
1.0,0.0,male,31.0,1.0,0.0,52.0,S,Mr,B
1.0,1.0,female,27.0,1.0,2.0,52.0,S,Mrs,B
1.0,1.0,male,31.0,1.0,0.0,57.0,S,Mr,B
1.0,1.0,female,17.0,1.0,0.0,57.0,S,Mrs,B
1.0,1.0,male,53.0,1.0,1.0,81.8583,S,Rare Title,A
1.0,1.0,male,4.0,0.0,2.0,81.8583,S,Master,A
1.0,1.0,female,54.0,1.0,1.0,81.8583,S,Mrs,A
1.0,0.0,male,50.0,1.0,0.0,106.425,C,Mr,C
1.0,1.0,female,27.0,1.0,1.0,247.5208,C,Mrs,B
1.0,1.0,female,48.0,1.0,0.0,106.425,C,Mrs,C
1.0,1.0,female,48.0,1.0,0.0,39.6,C,Rare Title,A
1.0,1.0,male,49.0,1.0,0.0,56.9292,C,Rare Title,A
1.0,0.0,male,39.0,0.0,0.0,29.7,C,Mr,A
1.0,1.0,female,23.0,0.0,1.0,83.1583,C,Mrs,C
1.0,1.0,female,38.0,0.0,0.0,227.525,C,Miss,C
1.0,1.0,female,54.0,1.0,0.0,78.2667,C,Miss,D
1.0,0.0,female,36.0,0.0,0.0,31.6792,C,Miss,A
1.0,0.0,male,38.875584815771134,0.0,0.0,221.7792,S,Mr,C
1.0,1.0,female,47.759181574798575,0.0,0.0,31.6833,S,Mrs,C
1.0,1.0,female,30.38552601880059,0.0,0.0,110.8833,C,Miss,C
1.0,1.0,male,36.0,0.0,0.0,26.3875,S,Mr,E
1.0,0.0,male,30.0,0.0,0.0,27.75,C,Mr,C
1.0,1.0,female,24.0,3.0,2.0,263.0,S,Miss,C
1.0,1.0,female,28.0,3.0,2.0,263.0,S,Miss,C
1.0,1.0,female,23.0,3.0,2.0,263.0,S,Miss,C
1.0,0.0,male,19.0,3.0,2.0,263.0,S,Mr,C
1.0,0.0,male,64.0,1.0,4.0,263.0,S,Mr,C
1.0,1.0,female,60.0,1.0,4.0,263.0,S,Mrs,C
1.0,1.0,female,30.0,0.0,0.0,56.9292,C,Miss,E
1.0,0.0,male,48.121382172617345,0.0,0.0,26.55,S,Mr,D
1.0,1.0,male,50.0,2.0,0.0,133.65,S,Rare Title,C
1.0,1.0,male,43.0,1.0,0.0,27.7208,C,Mr,D
1.0,1.0,female,38.221552756941264,1.0,0.0,133.65,S,Mrs,C
1.0,1.0,female,22.0,0.0,2.0,49.5,C,Miss,B
1.0,1.0,male,60.0,1.0,1.0,79.2,C,Mr,B
1.0,1.0,female,48.0,1.0,1.0,79.2,C,Mrs,B
1.0,0.0,male,36.84329245910956,0.0,0.0,0.0,S,Mr,B
1.0,0.0,male,37.0,1.0,0.0,53.1,S,Mr,C
1.0,1.0,female,35.0,1.0,0.0,53.1,S,Mrs,C
1.0,0.0,male,47.0,0.0,0.0,38.5,S,Mr,E
1.0,1.0,female,35.0,0.0,0.0,211.5,C,Miss,C
1.0,1.0,female,22.0,0.0,1.0,59.4,C,Miss,B
1.0,1.0,female,45.0,0.0,1.0,59.4,C,Mrs,D
1.0,0.0,male,24.0,0.0,0.0,79.2,C,Mr,B
1.0,1.0,male,49.0,1.0,0.0,89.1042,C,Mr,C
1.0,1.0,female,40.99803946663181,1.0,0.0,89.1042,C,Mrs,C
1.0,0.0,male,71.0,0.0,0.0,34.6542,C,Mr,A
1.0,1.0,male,53.0,0.0,0.0,28.5,C,Rare Title,C
1.0,1.0,female,19.0,0.0,0.0,30.0,S,Miss,B
1.0,0.0,male,38.0,0.0,1.0,153.4625,S,Mr,C
1.0,1.0,female,58.0,0.0,1.0,153.4625,S,Mrs,C
1.0,1.0,male,23.0,0.0,1.0,63.3583,C,Mr,D
1.0,1.0,female,45.0,0.0,1.0,63.3583,C,Mrs,D
1.0,0.0,male,46.0,0.0,0.0,79.2,C,Mr,B
1.0,1.0,male,25.0,1.0,0.0,55.4417,C,Mr,E
1.0,1.0,female,25.0,1.0,0.0,55.4417,C,Mrs,E
1.0,1.0,male,48.0,1.0,0.0,76.7292,C,Mr,D
1.0,1.0,female,49.0,1.0,0.0,76.7292,C,Mrs,D
1.0,0.0,male,45.79052861224895,0.0,0.0,42.4,S,Mr,C
1.0,0.0,male,45.0,1.0,0.0,83.475,S,Mr,C
1.0,1.0,female,35.0,1.0,0.0,83.475,S,Mrs,C
1.0,0.0,male,40.0,0.0,0.0,0.0,S,Mr,B
1.0,1.0,male,27.0,0.0,0.0,76.7292,C,Mr,D
1.0,1.0,male,41.960263819428384,0.0,0.0,30.0,S,Mr,D
1.0,1.0,female,24.0,0.0,0.0,83.1583,C,Miss,C
1.0,0.0,male,55.0,1.0,1.0,93.5,S,Mr,B
1.0,1.0,female,52.0,1.0,1.0,93.5,S,Mrs,B
1.0,0.0,male,42.0,0.0,0.0,42.5,S,Mr,B
1.0,0.0,male,46.389691907964064,0.0,0.0,51.8625,S,Mr,E
1.0,0.0,male,55.0,0.0,0.0,50.0,S,Mr,C
1.0,1.0,female,16.0,0.0,1.0,57.9792,C,Miss,B
1.0,1.0,female,44.0,0.0,1.0,57.9792,C,Mrs,B
1.0,1.0,female,51.0,1.0,0.0,77.9583,S,Mrs,D
1.0,0.0,male,42.0,1.0,0.0,52.0,S,Mr,C
1.0,1.0,female,35.0,1.0,0.0,52.0,S,Mrs,C
1.0,1.0,male,35.0,0.0,0.0,26.55,C,Mr,E
1.0,1.0,male,38.0,1.0,0.0,90.0,S,Mr,C
1.0,0.0,male,45.49848614414228,0.0,0.0,30.6958,C,Mr,C
1.0,1.0,female,35.0,1.0,0.0,90.0,S,Mrs,C
1.0,1.0,female,38.0,0.0,0.0,80.0,S,Miss,B
1.0,0.0,female,50.0,0.0,0.0,28.7125,C,Miss,C
1.0,1.0,male,49.0,0.0,0.0,0.0,S,Mr,B
1.0,0.0,male,46.0,0.0,0.0,26.0,S,Mr,C
1.0,0.0,male,50.0,0.0,0.0,26.0,S,Mr,E
1.0,0.0,male,32.5,0.0,0.0,211.5,C,Mr,C
1.0,0.0,male,58.0,0.0,0.0,29.7,C,Mr,B
1.0,0.0,male,41.0,1.0,0.0,51.8625,S,Mr,D
1.0,1.0,female,41.05972790989287,1.0,0.0,51.8625,S,Mrs,D
1.0,1.0,male,42.0,1.0,0.0,52.5542,S,Mr,D
1.0,1.0,female,45.0,1.0,0.0,52.5542,S,Mrs,D
1.0,0.0,male,44.37415472538754,0.0,0.0,26.55,S,Mr,C
1.0,1.0,female,39.0,0.0,0.0,211.3375,S,Miss,B
1.0,1.0,female,49.0,0.0,0.0,25.9292,S,Rare Title,D
