pclass,sex,age_orig,age_imp_mice,age_imp_rf,sibsp,parch,fare,embarked,boat_na,title,deck_orig,deck_imp_mice,deck_imp_rf,survived
1,female,29,29,29,0,0,211.3375,S,1,Miss,2,B,B,1
1,male,0.9167,0.9167,0.9167,1,2,151.55,S,1,Master,3,C,C,1
1,female,2,2,2,1,2,151.55,S,0,Miss,3,C,C,0
1,male,30,30,30,1,2,151.55,S,0,Mr,3,C,C,0
1,female,25,25,25,1,2,151.55,S,0,Mrs,3,C,C,0
1,male,48,48,48,0,0,26.55,S,1,Mr,5,E,E,1
1,female,63,63,63,1,0,77.9583,S,1,Miss,4,D,D,1
1,male,39,39,39,0,0,0,S,0,Mr,1,A,A,0
1,female,53,53,53,2,0,51.4792,S,1,Mrs,3,C,C,1
1,male,71,71,71,0,0,49.5042,C,0,Mr,,A,B,0
1,male,47,47,47,1,0,227.525,C,0,rare_title,3,C,C,0
1,female,18,18,18,1,0,227.525,C,1,Mrs,3,C,C,1
1,female,24,24,24,0,0,69.3,C,1,Mrs,2,B,B,1
1,female,26,26,26,0,0,78.85,S,1,Miss,,B,C,1
1,male,80,80,80,0,0,30,S,1,Mr,1,A,A,1
1,male,,46.97464334,46,0,0,25.925,S,0,Mr,,A,D,0
1,male,24,24,24,0,1,247.5208,C,0,Mr,2,B,B,0
1,female,50,50,50,0,1,247.5208,C,1,Mrs,2,B,B,1
1,female,32,32,32,0,0,76.2917,C,1,Miss,4,D,D,1
1,male,36,36,36,0,0,75.2417,C,1,Mr,3,C,C,0
1,male,37,37,37,1,1,52.5542,S,1,Mr,4,D,D,1
1,female,47,47,47,1,1,52.5542,S,1,Mrs,4,D,D,1
1,male,26,26,26,0,0,30,C,1,Mr,3,C,C,1
1,female,42,42,42,0,0,227.525,C,1,Miss,,C,C,1
1,female,29,29,29,0,0,221.7792,S,1,Miss,3,C,C,1
1,male,25,25,25,0,0,26,C,0,Mr,,D,C,0
1,male,25,25,25,1,0,91.0792,C,1,Mr,2,B,B,1
1,female,19,19,19,1,0,91.0792,C,1,Mrs,2,B,B,1
1,female,35,35,35,0,0,135.6333,S,1,Miss,3,C,C,1
1,male,28,28,28,0,0,26.55,S,1,Mr,3,C,C,1
1,male,45,45,45,0,0,35.5,S,0,Mr,8,T,T,0
1,male,40,40,40,0,0,31,C,1,Mr,1,A,A,1
1,female,30,30,30,0,0,164.8667,S,1,Miss,3,C,C,1
1,female,58,58,58,0,0,26.55,S,1,Miss,3,C,C,1
1,male,42,42,42,0,0,26.55,S,0,Mr,4,D,D,0
1,female,45,45,45,0,0,262.375,C,1,Miss,,B,B,1
1,female,22,22,22,0,1,55,S,1,Miss,5,E,E,1
1,male,,43.39481962,46.4,0,0,26.55,S,1,Mr,,E,E,1
1,male,41,41,41,0,0,30.5,S,0,Mr,1,A,A,0
1,male,48,48,48,0,0,50.4958,C,0,Mr,2,B,B,0
1,male,,48.85922144,41.7,0,0,39.6,C,0,rare_title,,A,B,0
1,female,44,44,44,0,0,27.7208,C,1,Mrs,2,B,B,1
1,female,59,59,59,2,0,51.4792,S,1,Mrs,3,C,C,1
1,female,60,60,60,0,0,76.2917,C,1,Mrs,4,D,D,1
1,female,41,41,41,0,0,134.5,C,1,Miss,5,E,E,1
1,male,45,45,45,0,0,26.55,S,0,rare_title,2,B,B,0
1,male,,46.50318088,57.2,0,0,31,S,0,Mr,,C,C,0
1,male,42,42,42,0,0,26.2875,S,1,Mr,5,E,E,1
1,female,53,53,53,0,0,27.4458,C,1,Mrs,,B,B,1
1,male,36,36,36,0,1,512.3292,C,1,Mr,2,B,B,1
1,female,58,58,58,0,1,512.3292,C,1,Mrs,2,B,B,1
1,male,33,33,33,0,0,5,S,0,Mr,2,B,B,0
1,male,28,28,28,0,0,47.1,S,0,Mr,,A,C,0
1,male,17,17,17,0,0,47.1,S,0,Mr,,D,C,0
1,male,11,11,11,1,2,120,S,1,Master,2,B,B,1
1,female,14,14,14,1,2,120,S,1,Miss,2,B,B,1
